index,symbol,date,field,method,repaired_value,confidence,note
1044,FUT6,2023-05-26 00:00:00,High,local_outlier_global_median_fallback,92.7125,low,"Old value: 7475.00, no clean past neighbors"
1068,FUT6,2023-05-31 00:00:00,High,local_outlier_global_median_fallback,92.7125,low,"Old value: 7845.00, no clean past neighbors"
1079,FUT6,2023-06-01 00:00:00,High,local_outlier_global_median_fallback,92.7125,low,"Old value: 7757.50, no clean past neighbors"
1091,FUT6,2023-06-02 00:00:00,High,local_outlier_global_median_fallback,92.7125,low,"Old value: 7742.50, no clean past neighbors"
1115,FUT6,2023-06-06 00:00:00,High,local_outlier_global_median_fallback,92.7125,low,"Old value: 8102.50, no clean past neighbors"
1127,FUT6,2023-06-07 00:00:00,High,local_outlier_global_median_fallback,92.7125,low,"Old value: 8095.00, no clean past neighbors"
1139,FUT6,2023-06-08 00:00:00,High,local_outlier_global_median_fallback,92.7125,low,"Old value: 7880.00, no clean past neighbors"
1151,FUT6,2023-06-09 00:00:00,High,local_outlier_global_median_fallback,92.7125,low,"Old value: 7857.50, no clean past neighbors"
1163,FUT6,2023-06-12 00:00:00,High,local_outlier_global_median_fallback,92.7125,low,"Old value: 8037.50, no clean past neighbors"
1175,FUT6,2023-06-13 00:00:00,High,local_outlier_global_median_fallback,92.7125,low,"Old value: 8130.00, no clean past neighbors"
1187,FUT6,2023-06-14 00:00:00,High,local_outlier_global_median_fallback,92.7125,low,"Old value: 8200.00, no clean past neighbors"
1199,FUT6,2023-06-15 00:00:00,High,local_outlier_global_median_fallback,92.7125,low,"Old value: 8160.00, no clean past neighbors"
1210,FUT6,2023-06-16 00:00:00,High,local_outlier_global_median_fallback,92.7125,low,"Old value: 8692.50, no clean past neighbors"
1222,FUT6,2023-06-20 00:00:00,High,local_outlier_global_median_fallback,92.7125,low,"Old value: 8707.50, no clean past neighbors"
1234,FUT6,2023-06-21 00:00:00,High,local_outlier_global_median_fallback,92.7125,low,"Old value: 8690.00, no clean past neighbors"
1246,FUT6,2023-06-22 00:00:00,High,local_outlier_global_median_fallback,92.7125,low,"Old value: 8740.00, no clean past neighbors"
1258,FUT6,2023-06-23 00:00:00,High,local_outlier_global_median_fallback,92.7125,low,"Old value: 8665.00, no clean past neighbors"
1270,FUT6,2023-06-26 00:00:00,High,local_outlier_global_median_fallback,92.7125,low,"Old value: 8902.50, no clean past neighbors"
1282,FUT6,2023-06-27 00:00:00,High,local_outlier_global_median_fallback,92.7125,low,"Old value: 8900.00, no clean past neighbors"
1294,FUT6,2023-06-28 00:00:00,High,local_outlier_global_median_fallback,92.7125,low,"Old value: 8807.50, no clean past neighbors"
1306,FUT6,2023-06-29 00:00:00,High,local_outlier_global_median_fallback,92.7125,low,"Old value: 8645.00, no clean past neighbors"
1318,FUT6,2023-06-30 00:00:00,High,local_outlier_global_median_fallback,92.7125,low,"Old value: 8630.00, no clean past neighbors"
1330,FUT6,2023-07-03 00:00:00,High,local_outlier_global_median_fallback,92.7125,low,"Old value: 8652.50, no clean past neighbors"
1342,FUT6,2023-07-05 00:00:00,High,local_outlier_global_median_fallback,92.7125,low,"Old value: 8607.50, no clean past neighbors"
1354,FUT6,2023-07-06 00:00:00,High,local_outlier_global_median_fallback,92.7125,low,"Old value: 8555.00, no clean past neighbors"
1366,FUT6,2023-07-07 00:00:00,High,local_outlier_global_median_fallback,92.7125,low,"Old value: 8530.00, no clean past neighbors"
1378,FUT6,2023-07-10 00:00:00,High,local_outlier_global_median_fallback,92.7125,low,"Old value: 8547.50, no clean past neighbors"
1390,FUT6,2023-07-11 00:00:00,High,local_outlier_global_median_fallback,92.7125,low,"Old value: 8472.50, no clean past neighbors"
1402,FUT6,2023-07-12 00:00:00,High,local_outlier_global_median_fallback,92.7125,low,"Old value: 8502.50, no clean past neighbors"
1414,FUT6,2023-07-13 00:00:00,High,local_outlier_global_median_fallback,92.7125,low,"Old value: 8497.50, no clean past neighbors"
1426,FUT6,2023-07-14 00:00:00,High,local_outlier_global_median_fallback,92.7125,low,"Old value: 8500.00, no clean past neighbors"
1482,FUT6,2023-07-21 00:00:00,High,local_outlier_global_median_fallback,92.7125,low,"Old value: 8872.50, no clean past neighbors"
1504,FUT6,2023-07-25 00:00:00,High,local_outlier_global_median_fallback,92.7125,low,"Old value: 8940.00, no clean past neighbors"
1515,FUT6,2023-07-26 00:00:00,High,local_outlier_global_median_fallback,92.7125,low,"Old value: 8900.00, no clean past neighbors"
1526,FUT6,2023-07-27 00:00:00,High,local_outlier_global_median_fallback,92.7125,low,"Old value: 8892.50, no clean past neighbors"
1559,FUT6,2023-08-01 00:00:00,High,local_outlier_global_median_fallback,92.7125,low,"Old value: 89.00, no clean past neighbors"
1570,FUT6,2023-08-02 00:00:00,High,local_outlier_backward_absolute_threshold+impossible_jump,89.0,medium,"Old value: 8434.01, used 1 past neighbors"
1581,FUT6,2023-08-03 00:00:00,High,local_outlier_backward_impossible_jump,89.0,medium,"Old value: 88.05, used 1 past neighbors"
