Symbol,Timestamp,Open,High,Low,Close,Volume,Open Interest,Date,Close_confidence_lower,Close_confidence_upper,Close_is_imputed,Volume_confidence_lower,Volume_confidence_upper,Volume_is_imputed,Open Interest_confidence_lower,Open Interest_confidence_upper,Open Interest_is_imputed
FUT1,44930.0,84.875,86.025,83.475,83.5,25940.0,67989.0,2023-01-04,83.5,83.5,False,25940.0,25940.0,False,67989.0,67989.0,False
FUT1,44931.0,83.55,83.975,81.6,82.675,29058.0,62660.0,2023-01-05,82.675,82.675,False,29058.0,29058.0,False,62660.0,62660.0,False
FUT1,44935.0,80.35,81.625,79.7,81.0,31593.0,59692.0,2023-01-09,81.0,81.0,False,31593.0,31593.0,False,59692.0,59692.0,False
FUT1,44936.0,81.0,81.0,81.0,81.0,26604.0,2002963.9699894076,2023-01-10,61.563360795712285,100.43663920428772,True,26604.0,26604.0,False,2002963.9699894076,2002963.9699894076,False
FUT1,44937.0,79.8,80.15,78.825,79.225,25405.0,48890.0,2023-01-11,79.225,79.225,False,25405.0,25405.0,False,48890.0,48890.0,False
FUT1,44938.0,79.225,79.225,79.225,79.225,24600.0,44180.0,2023-01-12,59.78836079571228,98.66163920428771,True,24600.0,24600.0,False,44180.0,44180.0,False
FUT1,44939.0,78.55,79.4,77.675,78.525,24375.0,39402.0,2023-01-13,78.525,78.525,False,24375.0,24375.0,False,39402.0,39402.0,False
FUT1,44945.0,77.175,77.65,76.4,76.6,15369.0,32492.0,2023-01-19,76.6,76.6,False,15369.0,15369.0,False,32492.0,32492.0,False
FUT1,44946.0,77.15,78.55,76.9,78.175,11023.0,31326.0,2023-01-20,78.175,78.175,False,11023.0,11023.0,False,31326.0,31326.0,False
FUT1,44949.0,77.85,78.2,77.075,77.75,7873.0,30239.0,2023-01-23,77.75,77.75,False,7873.0,7873.0,False,30239.0,30239.0,False
FUT1,44950.0,78.0,78.1,76.425,77.05,10013.0,29279.0,2023-01-24,77.05,77.05,False,10013.0,10013.0,False,29279.0,29279.0,False
FUT1,44951.0,77.15,77.35,76.3,76.9,6214.0,28827.0,2023-01-25,76.9,76.9,False,6214.0,6214.0,False,28827.0,28827.0,False
FUT1,44952.0,76.725,77.425,75.6,77.1,10098.0,27140.0,2023-01-26,77.1,77.1,False,10098.0,10098.0,False,27140.0,27140.0,False
FUT1,44956.0,75.625,75.825,75.075,75.25,5219.0,26385.0,2023-01-30,75.25,75.25,False,5219.0,5219.0,False,26385.0,26385.0,False
FUT1,44957.0,75.15,77.35,74.6,74.8,4938.0,26530.0,2023-01-31,74.8,74.8,False,4938.0,4938.0,False,26530.0,26530.0,False
FUT1,44959.0,74.35,75.625,74.35,75.55,6425.0,22608.0,2023-02-02,75.55,75.55,False,6425.0,6425.0,False,22608.0,22608.0,False
FUT1,44960.0,75.35,75.9,74.875,75.025,5398.0,21415.0,2023-02-03,75.025,75.025,False,5398.0,5398.0,False,21415.0,21415.0,False
FUT1,44963.0,74.775,75.625,74.475,75.15,11785.0,19316.0,2023-02-06,75.15,75.15,False,11785.0,11785.0,False,19316.0,19316.0,False
FUT1,44964.0,75.175,75.575,74.9,75.4,4875.0,18949.0,2023-02-07,75.4,75.4,False,4875.0,4875.0,False,18949.0,18949.0,False
FUT1,44965.0,74.975,76.2,74.925,76.125,5778.0,17519.0,2023-02-08,76.125,76.125,False,5778.0,5778.0,False,17519.0,17519.0,False
FUT1,44966.0,76.125,76.125,76.125,76.125,3032.0,16942.0,2023-02-09,70.92132025440297,81.32867974559703,True,3032.0,3032.0,False,16942.0,16942.0,False
FUT1,44967.0,75.8,76.075,75.7,75.925,1584.0,16964.0,2023-02-10,75.925,75.925,False,1584.0,1584.0,False,16964.0,16964.0,False
FUT1,44970.0,75.8,75.95,75.7,75.775,3085.0,15050.0,2023-02-13,75.775,75.775,False,3085.0,3085.0,False,15050.0,15050.0,False
FUT1,44971.0,75.75,75.825,75.65,75.675,2180.0,14980.0,2023-02-14,75.675,75.675,False,2180.0,2180.0,False,14980.0,14980.0,False
FUT1,44972.0,75.675,75.675,75.675,75.675,14434.0,99388.0,2023-02-15,70.7212140265233,80.6287859734767,True,14434.0,14434.0,False,99388.0,99388.0,False
FUT1,44974.0,85.875,87.1,85.2,85.35,20826.0,98879.0,2023-02-17,85.35,85.35,False,20826.0,20826.0,False,98879.0,98879.0,False
FUT1,44978.0,86.25,89.875,86.25,88.875,3085.0,98417.0,2023-02-21,88.875,88.875,False,-16213.422079139407,22383.422079139407,True,98417.0,98417.0,False
FUT1,44979.0,88.125,88.325,86.175,86.575,30024.0,95746.0,2023-02-22,86.575,86.575,False,30024.0,30024.0,False,95746.0,95746.0,False
FUT1,44980.0,86.575,86.575,86.575,86.575,20953.0,95130.0,2023-02-23,78.9381411066713,94.21185889332871,True,20953.0,20953.0,False,95130.0,95130.0,False
FUT1,44985.0,85.025,85.675,84.225,84.9,20183.0,93511.0,2023-02-28,84.9,84.9,False,20183.0,20183.0,False,93511.0,93511.0,False
FUT1,44986.0,84.825,85.35,84.075,84.9,26639.0,95746.0,2023-03-01,84.9,84.9,False,26639.0,26639.0,False,-621755.9919415478,813247.9919415478,True
FUT1,44987.0,85.5,85.875,83.625,84.0,24281.0,90160.0,2023-03-02,84.0,84.0,False,24281.0,24281.0,False,90160.0,90160.0,False
FUT1,44988.0,83.775,85.075,83.525,84.5,19570.0,88418.0,2023-03-03,84.5,84.5,False,19570.0,19570.0,False,88418.0,88418.0,False
FUT1,44991.0,84.1,84.975,83.3,83.45,22297.0,86953.0,2023-03-06,83.45,83.45,False,22297.0,22297.0,False,86953.0,86953.0,False
FUT1,44992.0,83.45,83.45,83.45,83.45,33177.0,80486.0,2023-03-07,74.95764879635021,91.94235120364979,True,33177.0,33177.0,False,80486.0,80486.0,False
FUT1,44993.0,84.475,86.175,84.225,85.675,34600.0,72750.0,2023-03-08,85.675,85.675,False,34600.0,34600.0,False,72750.0,72750.0,False
FUT1,44994.0,85.675,85.675,85.675,85.675,33916.0,66321.0,2023-03-09,77.08841069614856,94.26158930385144,True,33916.0,33916.0,False,66321.0,66321.0,False
FUT1,44995.0,85.0,87.5,85.0,87.25,37280.0,63589.0,2023-03-10,87.25,87.25,False,37280.0,37280.0,False,63589.0,63589.0,False
FUT1,44998.0,86.725,87.425,85.75,86.425,29561.0,60336.0,2023-03-13,86.425,86.425,False,29561.0,29561.0,False,60336.0,60336.0,False
